,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
0,7:57:04 AM,28.65,52.04,7:57:04 AM,27.96,49.7,,,,6:37:00,99,,,,,
0,7:59:04 AM,28.66,51.93,7:59:04 AM,28.22,49.17,,,,6:38:00,101,,,,,
0,8:01:04 AM,28.79,52.06,8:01:04 AM,28.47,48.86,,,,6:39:00,95,,,,,
0,8:03:04 AM,28.96,52.23,8:03:04 AM,28.74,48.78,,,,6:40:00,95,,,,,
0,8:05:04 AM,29.12,52.13,8:05:04 AM,28.99,47.57,,,,6:41:00,98,,,,,
0,8:07:04 AM,29.12,52.7,8:07:04 AM,29.22,47.49,,,,6:42:00,94,,,,,
0,8:09:04 AM,29.06,52.4,8:09:04 AM,29.33,46.47,,,,6:43:00,89,,,,,
0,8:11:04 AM,29.11,52.12,8:11:04 AM,29.41,47.69,,,,6:44:00,94,,,,,
0,8:13:04 AM,29.13,51.95,8:13:04 AM,29.29,47.58,,,,6:45:00,94,,,,,
0,8:15:04 AM,29.12,51.98,8:15:04 AM,29.34,47.08,,,,6:46:00,94,,,,,
0,8:17:04 AM,29.12,51.94,8:17:04 AM,29.35,46.83,,,,6:47:00,95,,,,,
0,8:19:04 AM,29.16,51.96,8:19:04 AM,29.3,46.34,,,,6:48:00,94,,,,,
0,8:21:04 AM,29.12,52.13,8:21:04 AM,29.39,47.68,,,,6:49:00,96,,,,,
0,8:23:04 AM,29.26,52.17,8:23:04 AM,29.3,47.87,,,,6:50:00,92,,,,,
0,8:25:04 AM,29.49,52.13,8:25:04 AM,29.35,48.7,,,,6:51:00,95,,,,,
0,8:27:04 AM,29.59,51.99,8:27:04 AM,29.47,48.39,,,,6:52:00,93,,,,,
0,8:29:04 AM,29.67,51.74,8:29:04 AM,29.5,47.12,,,,6:53:00,94,,,,,
0,8:31:04 AM,29.7,51.76,8:31:04 AM,29.55,47,,,,6:54:00,95,,,,,
0,8:33:04 AM,29.76,51.78,8:33:04 AM,29.61,47.47,,,,6:55:00,92,,,,,
0,8:35:04 AM,29.73,51.61,8:35:04 AM,29.64,46.7,,,,6:56:00,92,,,,,
0,8:37:04 AM,29.5,51.59,8:37:04 AM,29.59,46.72,,,,6:57:00,88,,,,,
0,8:39:04 AM,29.7,51.48,8:39:04 AM,29.64,46.71,,,,6:58:00,91,,,,,
0,8:41:04 AM,29.8,51.38,8:41:04 AM,29.69,46.73,,,,6:59:00,90,,,,,
0,8:43:04 AM,29.96,51.72,8:43:04 AM,29.8,46.74,,,,7:00:00,88,,,,,
0,8:45:04 AM,29.9,51.22,8:45:04 AM,29.76,46.06,,,,7:01:00,94,,,,,
0,8:47:04 AM,29.91,51.15,8:47:04 AM,29.9,46.81,,,,7:02:00,93,,,,,
0,8:49:04 AM,29.82,50.97,8:49:04 AM,30,45.74,,,,7:03:00,91,,,,,
0,8:51:04 AM,29.86,51.01,8:51:04 AM,30.01,45.97,,,,7:04:00,89,,,,,
0,8:53:04 AM,30.23,50.79,8:53:04 AM,30.03,46.11,,,,7:05:00,90,,,,,
0,8:55:04 AM,30.35,50.5,8:55:04 AM,30.06,46.18,,,,7:06:00,87,,,,,
0,8:57:04 AM,30.36,50.49,8:57:04 AM,29.9,45.85,,,,7:07:00,88,,,,,
0,8:59:04 AM,30.32,50.41,8:59:04 AM,29.8,46.13,,,,7:08:00,87,,,,,
0,9:01:04 AM,30.31,50.38,9:01:04 AM,29.78,46.18,,,,7:09:00,88,,,,,
0,9:03:04 AM,30.12,50.11,9:03:04 AM,29.32,45.7,,,,7:10:00,81,,,,,
0,9:05:04 AM,30.23,49.92,9:05:04 AM,29.1,46.72,,,,7:11:00,80,,,,,
0,9:07:04 AM,30.15,50.15,9:07:04 AM,29.2,49.67,,,,7:12:00,84,,,,,
0,9:09:04 AM,29.97,50.3,9:09:04 AM,29.35,48.42,,,,7:13:00,86,,,,,
0,9:11:04 AM,30.1,50.34,9:11:04 AM,29.59,46.84,,,,7:14:00,84,,,,,
0,9:13:04 AM,30.31,50.22,9:13:04 AM,29.63,46.92,,,,7:15:00,84,,,,,
0,9:15:04 AM,30.25,50.18,9:15:04 AM,29.79,45.56,,,,7:16:00,86,,,,,
0,9:17:04 AM,30.3,50.02,9:17:04 AM,30.01,46.42,,,,7:17:00,93,,,,,
0,9:19:04 AM,30.11,49.91,9:19:04 AM,29.87,45.49,,,,7:18:00,94,,,,,
0,9:21:04 AM,29.75,49.66,9:21:04 AM,29.57,46.23,,,,7:19:00,88,,,,,
0,9:23:04 AM,29.51,49.82,9:23:04 AM,29.6,48.85,,,,7:20:00,86,,,,,
0,9:25:04 AM,29.92,49.95,9:25:04 AM,29.55,46.17,,,,7:21:00,87,,,,,
0,9:27:04 AM,29.7,50.31,9:27:04 AM,29.33,46.15,,,,7:22:00,90,,,,,
0,9:29:04 AM,29.69,50.34,9:29:04 AM,29.19,48.3,,,,7:23:00,98,,,,,
0,9:31:04 AM,29.57,50.76,9:31:04 AM,29.21,45.78,,,,7:24:00,96,,,,,
0,9:33:04 AM,29.65,50.67,9:33:04 AM,29.28,45.94,,,,7:25:00,84,,,,,
0,9:35:04 AM,29.57,50.61,9:35:04 AM,29.44,46.72,,,,7:26:00,83,,,,,
0,9:37:04 AM,29.99,50.45,9:37:04 AM,29.64,45.73,,,,7:27:00,89,,,,,
0,9:39:04 AM,29.99,50.34,9:39:04 AM,29.68,45.97,,,,7:28:00,98,,,,,
0,9:41:04 AM,29.82,50.5,9:41:04 AM,29.56,45.78,,,,7:29:00,99,,,,,
0,9:43:04 AM,29.7,50.28,9:43:04 AM,29.45,45.52,,,,7:30:00,99,,,,,
0,9:45:04 AM,30,50.08,9:45:04 AM,29.42,46.68,,,,7:31:00,105,,,,,
0,9:47:04 AM,30.55,49.96,9:47:04 AM,29.35,45.43,,,,7:32:00,120,,,,,
0,9:49:04 AM,31,49.98,9:49:04 AM,29.23,45.09,,,,7:33:00,115,,,,,
0,9:51:04 AM,31.47,49.87,9:51:04 AM,29.23,45.82,,,,7:34:00,107,,,,,
0,9:53:04 AM,31.15,49.56,9:53:04 AM,29.33,44.98,,,,7:35:00,100,,,,,
0,9:55:04 AM,30.67,49.93,9:55:04 AM,29.34,45.59,,,,7:36:00,95,,,,,
0,9:57:04 AM,30.43,49.9,9:57:04 AM,29.24,48.12,,,,7:37:00,94,,,,,
0,9:59:04 AM,30.01,49.83,9:59:04 AM,29.18,47.44,,,,7:38:00,89,,,,,
0,10:01:04 AM,29.57,50.07,10:01:04 AM,29.44,46.7,,,,7:39:00,87,,,,,
0,10:03:04 AM,29.5,50.18,10:03:04 AM,29.42,49.73,,,,7:40:00,87,,,,,
0,10:05:04 AM,29.84,50.22,10:05:04 AM,29.32,47.49,,,,7:41:00,80,,,,,
0,10:07:04 AM,30.03,50.03,10:07:04 AM,29.5,56.24,,,,7:42:00,81,,,,,
0,10:09:04 AM,30.18,49.84,10:09:04 AM,29.71,56.03,,,,7:43:00,79,,,,,
0,10:11:04 AM,30.19,49.79,10:11:04 AM,29.78,56.65,,,,7:44:00,80,,,,,
0,10:13:04 AM,30.24,49.69,10:13:04 AM,29.85,54.78,,,,7:45:00,82,,,,,
0,10:15:04 AM,30.16,49.7,10:15:04 AM,29.93,56.73,,,,7:46:00,83,,,,,
0,10:17:04 AM,30.27,49.53,10:17:04 AM,29.95,55.07,,,,7:47:00,84,,,,,
0,10:19:04 AM,30.34,49.41,10:19:04 AM,29.86,52.37,,,,7:48:00,92,,,,,
0,10:21:04 AM,30.29,49.36,10:21:04 AM,29.79,53.61,,,,7:49:00,95,,,,,
0,10:23:04 AM,30.3,49.2,10:23:04 AM,29.76,54.02,,,,7:50:00,91,,,,,
0,10:25:04 AM,30.35,49.08,10:25:04 AM,29.57,49.66,,,,7:51:00,101,,,,,
0,10:27:04 AM,30.47,48.96,10:27:04 AM,29.51,49.86,,,,7:52:00,110,,,,,
0,10:29:04 AM,30.59,48.88,10:29:04 AM,29.48,51.15,,,,7:53:00,97,,,,,
0,10:31:04 AM,30.69,48.8,10:31:04 AM,29.45,50.75,,,,7:54:00,96,,,,,
0,10:33:04 AM,30.72,48.63,10:33:04 AM,29.44,50.33,,,,7:55:00,89,,,,,
0,10:35:04 AM,30.72,48.59,10:35:04 AM,29.46,49.51,,,,7:56:00,94,,,,,
0,10:37:04 AM,30.71,48.53,10:37:04 AM,29.42,49.59,,,,7:57:00,97,,,,,
0,10:39:04 AM,30.74,48.58,10:39:04 AM,29.41,48.95,,,,7:58:00,90,,,,,
0,10:41:04 AM,30.7,48.49,10:41:04 AM,29.42,48.97,,,,7:59:00,93,,,,,
0,10:43:04 AM,30.74,48.4,10:43:04 AM,29.46,49.25,,,,8:00:00,86,,,,,
0,10:45:04 AM,30.75,48.39,10:45:04 AM,29.54,49.14,,,,8:01:00,93,,,,,
0,10:47:04 AM,30.81,48.4,10:47:04 AM,29.62,49.97,,,,8:02:00,84,,,,,
0,10:49:04 AM,30.84,48.35,10:49:04 AM,29.66,50,,,,8:03:00,84,,,,,
0,10:51:04 AM,30.81,48.36,10:51:04 AM,29.67,47.89,,,,8:04:00,82,,,,,
0,10:53:04 AM,30.74,48.34,10:53:04 AM,29.63,49.13,,,,8:05:00,83,,,,,
0,10:55:04 AM,30.82,48.6,10:55:04 AM,29.61,51.4,,,,8:06:00,81,,,,,
0,10:57:04 AM,32.09,48.95,10:57:04 AM,29.77,50.61,,,,8:07:00,81,,,,,
0,10:59:04 AM,32.04,49.32,10:59:04 AM,29.7,52.12,,,,8:08:00,81,,,,,
0,11:01:04 AM,31.41,49.59,11:01:04 AM,29.72,52.43,,,,8:09:00,85,,,,,
0,11:03:04 AM,31.17,49.7,11:03:04 AM,30.19,56.08,,,,8:10:00,85,,,,,
0,11:05:04 AM,31.25,49.95,11:05:04 AM,30.59,56.67,,,,8:11:00,89,,,,,
0,11:07:04 AM,31.33,50.02,11:07:04 AM,30.91,56.5,,,,8:12:00,83,,,,,
0,11:09:04 AM,31.32,50.04,11:09:04 AM,31.19,56.1,,,,8:13:00,84,,,,,
0,11:11:04 AM,31.3,50.02,11:11:04 AM,31.42,54.33,,,,8:14:00,83,,,,,
0,11:13:04 AM,31.02,50.25,11:13:04 AM,31.63,53.18,,,,8:15:00,80,,,,,
0,11:15:04 AM,30.91,50.37,11:15:04 AM,31.79,52.14,,,,8:16:00,77,,,,,
0,11:17:04 AM,30.85,50.49,11:17:04 AM,31.93,51.44,,,,8:17:00,83,,,,,
0,11:19:04 AM,30.79,50.57,11:19:04 AM,32.06,51.39,,,,8:18:00,83,,,,,
0,11:21:04 AM,30.81,50.53,11:21:04 AM,32.2,51.43,,,,8:19:00,77,,,,,
0,11:23:04 AM,30.81,50.61,11:23:04 AM,32.34,51.34,,,,8:20:00,79,,,,,
0,11:25:04 AM,30.85,50.57,11:25:04 AM,32.48,50.87,,,,8:21:00,77,,,,,
0,11:27:04 AM,30.78,50.57,11:27:04 AM,32.61,50.61,,,,8:22:00,78,,,,,
0,11:29:04 AM,30.77,50.7,11:29:04 AM,32.74,50.7,,,,8:23:00,75,,,,,
0,11:31:04 AM,30.79,50.86,11:31:04 AM,32.88,51.45,,,,8:24:00,80,,,,,
0,11:33:04 AM,30.92,51.08,11:33:04 AM,33.03,51.82,,,,8:25:00,82,,,,,
0,11:35:04 AM,30.97,51.39,11:35:04 AM,33.19,52.1,,,,8:26:00,82,,,,,
0,11:37:04 AM,31.05,51.86,11:37:04 AM,33.33,52.12,,,,8:27:00,80,,,,,
0,11:39:04 AM,30.99,52.1,11:39:04 AM,33.46,51.71,,,,8:28:00,79,,,,,
0,11:41:04 AM,30.93,52.4,11:41:04 AM,33.59,52.26,,,,8:29:00,75,,,,,
0,11:43:04 AM,30.93,52.89,11:43:04 AM,33.73,52.68,,,,8:30:00,81,,,,,
0,11:45:04 AM,30.92,53.48,11:45:04 AM,33.87,53.05,,,,8:31:00,74,,,,,
0,11:47:04 AM,30.89,53.97,11:47:04 AM,34.01,53.29,,,,8:32:00,66,,,,,
0,11:49:04 AM,30.87,54.39,11:49:04 AM,33.82,47.21,,,,8:33:00,70,,,,,
0,11:51:04 AM,32.01,54.31,11:51:04 AM,32.93,45.06,,,,8:34:00,77,,,,,
0,11:53:04 AM,32.62,54.29,11:53:04 AM,32.37,44.84,,,,8:35:00,76,,,,,
0,11:55:04 AM,33.21,54.6,11:55:04 AM,31.88,44.63,,,,8:36:00,78,,,,,
0,11:57:04 AM,33.69,54.92,11:57:04 AM,31.52,45.44,,,,8:37:00,77,,,,,
0,11:59:04 AM,33.97,55.16,11:59:04 AM,31.26,46.22,,,,8:38:00,78,,,,,
0,12:01:04 PM,34.19,55.35,12:01:04 PM,31.04,47.21,,,,8:39:00,77,,,,,
0,12:03:04 PM,34.29,55.45,12:03:04 PM,30.85,47,,,,8:40:00,78,,,,,
0,12:05:04 PM,34.37,55.58,12:05:04 PM,30.71,48.4,,,,8:41:00,78,,,,,
0,12:07:04 PM,33.36,55.79,12:07:04 PM,30.62,50.06,,,,8:42:00,76,,,,,
0,12:09:04 PM,32.5,55.86,12:09:04 PM,30.59,50.15,,,,8:43:00,74,,,,,
0,12:11:04 PM,32.05,55.48,12:11:04 PM,30.53,48.87,,,,8:44:00,71,,,,,
0,12:13:04 PM,31.99,55.11,12:13:04 PM,30.53,49.44,,,,8:45:00,75,,,,,
0,12:15:04 PM,32.05,55.17,12:15:04 PM,30.47,49.52,,,,8:46:00,74,,,,,
0,12:17:04 PM,32.12,54.99,12:17:04 PM,30.41,49.26,,,,8:47:00,72,,,,,
0,12:19:04 PM,31.95,54.79,12:19:04 PM,30.42,49.68,,,,8:48:00,74,,,,,
0,12:21:04 PM,32.06,54.52,12:21:04 PM,30.45,50.01,,,,8:49:00,72,,,,,
0,12:23:04 PM,32.15,54.27,12:23:04 PM,30.49,49.66,,,,8:50:00,74,,,,,
0,12:25:04 PM,32.26,54.11,12:25:04 PM,30.51,50.04,,,,8:51:00,73,,,,,
0,12:27:04 PM,32.3,53.8,12:27:04 PM,30.53,50.13,,,,8:52:00,72,,,,,
0,12:29:04 PM,32.29,53.58,12:29:04 PM,30.52,49.46,,,,8:53:00,66,,,,,
0,12:31:04 PM,32.34,53.47,12:31:04 PM,30.52,50.6,,,,8:54:00,72,,,,,
0,12:33:04 PM,32.1,53.21,12:33:04 PM,30.39,48.96,,,,8:55:00,78,,,,,
0,12:35:04 PM,32.18,53,12:35:04 PM,30.22,48.81,,,,8:56:00,77,,,,,
0,12:37:04 PM,32.69,52.78,12:37:04 PM,30.07,48.89,,,,8:57:00,78,,,,,
0,12:39:04 PM,32.71,52.64,12:39:04 PM,29.98,48.9,,,,8:58:00,75,,,,,
0,12:41:04 PM,32.61,52.54,12:41:04 PM,29.84,49.7,,,,8:59:00,77,,,,,
0,12:43:04 PM,32.55,52.46,12:43:04 PM,29.73,49.22,,,,9:00:00,80,,,,,
0,12:45:04 PM,32.38,52.35,12:45:04 PM,29.66,49.32,,,,9:01:00,78,,,,,
0,12:47:04 PM,32.32,52.14,12:47:04 PM,29.6,49.65,,,,9:02:00,77,,,,,
0,12:49:04 PM,32.55,51.83,12:49:04 PM,29.54,51.7,,,,9:03:00,75,,,,,
0,12:51:04 PM,32.7,51.68,12:51:04 PM,29.43,49.23,,,,9:04:00,72,,,,,
0,12:53:04 PM,32.73,51.69,12:53:04 PM,29.3,49.51,,,,9:05:00,72,,,,,
0,12:55:04 PM,31.92,51.81,12:55:04 PM,29.58,56.6,,,,9:06:00,76,,,,,
0,12:57:04 PM,31.21,51.97,12:57:04 PM,29.89,58.29,,,,9:07:00,80,,,,,
0,12:59:04 PM,30.82,52.09,12:59:04 PM,30.04,56.98,,,,9:08:00,83,,,,,
0,1:01:04 PM,30.61,52.23,1:01:04 PM,30.17,55.88,,,,9:09:00,93,,,,,
0,1:03:04 PM,30.54,52.22,1:03:04 PM,30.28,56.09,,,,9:10:00,89,,,,,
0,1:05:04 PM,30.51,52.3,1:05:04 PM,30.41,54.26,,,,9:11:00,88,,,,,
0,1:07:04 PM,30.47,52.51,1:07:04 PM,30.49,57.62,,,,9:12:00,87,,,,,
0,1:09:04 PM,30.42,52.69,1:09:04 PM,30.56,58.4,,,,9:13:00,90,,,,,
0,1:11:04 PM,30.38,52.84,1:11:04 PM,30.54,55.23,,,,9:14:00,93,,,,,
